"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_km","duration_seconds","rpe"
"Pull ( back & bi )","17 Apr 2026, 23:29","18 Apr 2026, 00:53","Midnight snack it up","Bent Over Row (Barbell)",,"",0,"normal",65,6,,,
"Pull ( back & bi )","17 Apr 2026, 23:29","18 Apr 2026, 00:53","Midnight snack it up","Bent Over Row (Barbell)",,"",1,"normal",65,6,,,
"Pull ( back & bi )","17 Apr 2026, 23:29","18 Apr 2026, 00:53","Midnight snack it up","Deadlift (Barbell)",,"",0,"normal",135,4,,,
"Pull ( back & bi )","17 Apr 2026, 23:29","18 Apr 2026, 00:53","Midnight snack it up","Deadlift (Barbell)",,"",1,"normal",115,4,,,
"Pull ( back & bi )","17 Apr 2026, 23:29","18 Apr 2026, 00:53","Midnight snack it up","Deadlift (Barbell)",,"",2,"normal",115,5,,,
"Pull ( back & bi )","17 Apr 2026, 23:29","18 Apr 2026, 00:53","Midnight snack it up","Lat Pulldown (Cable)",,"",0,"normal",65,12,,,
"Pull ( back & bi )","17 Apr 2026, 23:29","18 Apr 2026, 00:53","Midnight snack it up","Lat Pulldown (Cable)",,"",1,"normal",65,8,,,
"Pull ( back & bi )","17 Apr 2026, 23:29","18 Apr 2026, 00:53","Midnight snack it up","Lat Pulldown (Cable)",,"",2,"normal",65,8,,,
"Pull ( back & bi )","17 Apr 2026, 23:29","18 Apr 2026, 00:53","Midnight snack it up","Seated Cable Row - Bar Wide Grip",,"",0,"normal",55,6,,,
"Pull ( back & bi )","17 Apr 2026, 23:29","18 Apr 2026, 00:53","Midnight snack it up","Seated Cable Row - Bar Wide Grip",,"",1,"normal",55,6,,,
"Pull ( back & bi )","17 Apr 2026, 23:29","18 Apr 2026, 00:53","Midnight snack it up","Seated Cable Row - Bar Wide Grip",,"",2,"normal",55,6,,,
"Pull ( back & bi )","17 Apr 2026, 23:29","18 Apr 2026, 00:53","Midnight snack it up","Face Pull",,"",0,"normal",40,8,,,
"Pull ( back & bi )","17 Apr 2026, 23:29","18 Apr 2026, 00:53","Midnight snack it up","Face Pull",,"",1,"normal",40,8,,,
"Pull ( back & bi )","17 Apr 2026, 23:29","18 Apr 2026, 00:53","Midnight snack it up","Face Pull",,"",2,"normal",40,8,,,
"Pull ( back & bi )","17 Apr 2026, 23:29","18 Apr 2026, 00:53","Midnight snack it up","Back Extension (Weighted Hyperextension)",,"",0,"normal",25,12,,,
"Pull ( back & bi )","17 Apr 2026, 23:29","18 Apr 2026, 00:53","Midnight snack it up","Back Extension (Weighted Hyperextension)",,"",1,"normal",25,12,,,
"Pull ( back & bi )","17 Apr 2026, 23:29","18 Apr 2026, 00:53","Midnight snack it up","Back Extension (Weighted Hyperextension)",,"",2,"normal",25,12,,,
"Pull ( back & bi )","6 Apr 2026, 22:32","7 Apr 2026, 00:11","Finished with a quick abs","Bent Over Row (Barbell)",,"",0,"normal",65,10,,,
"Pull ( back & bi )","6 Apr 2026, 22:32","7 Apr 2026, 00:11","Finished with a quick abs","Bent Over Row (Barbell)",,"",1,"normal",65,8,,,
"Pull ( back & bi )","6 Apr 2026, 22:32","7 Apr 2026, 00:11","Finished with a quick abs","Bent Over Row (Barbell)",,"",2,"normal",65,5,,,
"Pull ( back & bi )","6 Apr 2026, 22:32","7 Apr 2026, 00:11","Finished with a quick abs","Deadlift (Barbell)",,"",0,"normal",115,10,,,
"Pull ( back & bi )","6 Apr 2026, 22:32","7 Apr 2026, 00:11","Finished with a quick abs","Deadlift (Barbell)",,"",1,"normal",115,9,,,
"Pull ( back & bi )","6 Apr 2026, 22:32","7 Apr 2026, 00:11","Finished with a quick abs","Deadlift (Barbell)",,"",2,"normal",115,4,,,
"Pull ( back & bi )","6 Apr 2026, 22:32","7 Apr 2026, 00:11","Finished with a quick abs","Seated Cable Row - Bar Wide Grip",,"",0,"normal",60,6,,,
"Pull ( back & bi )","6 Apr 2026, 22:32","7 Apr 2026, 00:11","Finished with a quick abs","Seated Cable Row - Bar Wide Grip",,"",1,"normal",55,6,,,
"Pull ( back & bi )","6 Apr 2026, 22:32","7 Apr 2026, 00:11","Finished with a quick abs","Seated Cable Row - Bar Wide Grip",,"",2,"normal",50,7,,,
"Pull ( back & bi )","6 Apr 2026, 22:32","7 Apr 2026, 00:11","Finished with a quick abs","Lat Pulldown (Cable)",,"",0,"normal",55,12,,,
"Pull ( back & bi )","6 Apr 2026, 22:32","7 Apr 2026, 00:11","Finished with a quick abs","Lat Pulldown (Cable)",,"",1,"normal",75,8,,,
"Pull ( back & bi )","6 Apr 2026, 22:32","7 Apr 2026, 00:11","Finished with a quick abs","Lat Pulldown (Cable)",,"",2,"normal",75,8,,,
"Pull ( back & bi )","6 Apr 2026, 22:32","7 Apr 2026, 00:11","Finished with a quick abs","Back Extension (Weighted Hyperextension)",,"",0,"normal",25,10,,,
"Pull ( back & bi )","6 Apr 2026, 22:32","7 Apr 2026, 00:11","Finished with a quick abs","Back Extension (Weighted Hyperextension)",,"",1,"normal",25,12,,,
"Pull ( back & bi )","6 Apr 2026, 22:32","7 Apr 2026, 00:11","Finished with a quick abs","Back Extension (Weighted Hyperextension)",,"",2,"normal",25,12,,,
"Pull ( back & bi )","6 Apr 2026, 22:32","7 Apr 2026, 00:11","Finished with a quick abs","Face Pull",,"",0,"normal",35,10,,,
"Pull ( back & bi )","6 Apr 2026, 22:32","7 Apr 2026, 00:11","Finished with a quick abs","Face Pull",,"",1,"normal",35,8,,,
"Pull ( back & bi )","6 Apr 2026, 22:32","7 Apr 2026, 00:11","Finished with a quick abs","Face Pull",,"",2,"normal",35,8,,,
"Pull ( back & bi )","6 Apr 2026, 22:32","7 Apr 2026, 00:11","Finished with a quick abs","Cable Crunch",,"",0,"normal",37,10,,,
"Pull ( back & bi )","6 Apr 2026, 22:32","7 Apr 2026, 00:11","Finished with a quick abs","Cable Crunch",,"",1,"normal",37,8,,,
"Pull ( back & bi )","6 Apr 2026, 22:32","7 Apr 2026, 00:11","Finished with a quick abs","Cable Crunch",,"",2,"normal",45,6,,,
"Push (shoulders & chest)","29 Jan 2026, 19:58","29 Jan 2026, 21:08","","Rear Delt Reverse Fly (Machine)",,"",0,"normal",40,8,,,
"Push (shoulders & chest)","29 Jan 2026, 19:58","29 Jan 2026, 21:08","","Rear Delt Reverse Fly (Machine)",,"",1,"normal",50,6,,,
"Push (shoulders & chest)","29 Jan 2026, 19:58","29 Jan 2026, 21:08","","Rear Delt Reverse Fly (Machine)",,"",2,"normal",50,6,,,
"Push (shoulders & chest)","29 Jan 2026, 19:58","29 Jan 2026, 21:08","","Butterfly (Pec Deck)",,"",0,"normal",50,6,,,
"Push (shoulders & chest)","29 Jan 2026, 19:58","29 Jan 2026, 21:08","","Butterfly (Pec Deck)",,"",1,"normal",50,6,,,
"Push (shoulders & chest)","29 Jan 2026, 19:58","29 Jan 2026, 21:08","","Single Arm Lateral Raise (Cable)",,"",0,"normal",6,8,,,
"Push (shoulders & chest)","29 Jan 2026, 19:58","29 Jan 2026, 21:08","","Single Arm Lateral Raise (Cable)",,"",1,"normal",6,8,,,
"Push (shoulders & chest)","29 Jan 2026, 19:58","29 Jan 2026, 21:08","","Single Arm Lateral Raise (Cable)",,"",2,"normal",6,8,,,
"Push (shoulders & chest)","29 Jan 2026, 19:58","29 Jan 2026, 21:08","","Lateral Raise (Dumbbell)",,"",0,"normal",25,6,,,
"Push (shoulders & chest)","29 Jan 2026, 19:58","29 Jan 2026, 21:08","","Lateral Raise (Dumbbell)",,"",1,"normal",25,6,,,
"Push (shoulders & chest)","29 Jan 2026, 19:58","29 Jan 2026, 21:08","","Back Extension (Weighted Hyperextension)",,"",0,"normal",25,15,,,
"Push (shoulders & chest)","29 Jan 2026, 19:58","29 Jan 2026, 21:08","","Back Extension (Weighted Hyperextension)",,"",1,"normal",25,12,,,
"Push (shoulders & chest)","29 Jan 2026, 19:58","29 Jan 2026, 21:08","","Back Extension (Weighted Hyperextension)",,"",2,"normal",25,8,,,
"Push (shoulders & chest)","29 Jan 2026, 19:58","29 Jan 2026, 21:08","","Triceps Rope Pushdown",,"",0,"normal",27,4,,,
"Push (shoulders & chest)","29 Jan 2026, 19:58","29 Jan 2026, 21:08","","Triceps Rope Pushdown",,"",1,"normal",27,6,,,
"Push (shoulders & chest)","29 Jan 2026, 19:58","29 Jan 2026, 21:08","","Face Pull",,"",0,"normal",37.5,6,,,
"Push (shoulders & chest)","29 Jan 2026, 19:58","29 Jan 2026, 21:08","","Face Pull",,"",1,"normal",37.5,8,,,
"Push (shoulders & chest)","29 Jan 2026, 19:58","29 Jan 2026, 21:08","","Face Pull",,"",2,"normal",37.5,6,,,
"Glutes (1hr +)","25 Jan 2026, 22:00","25 Jan 2026, 23:00","","Romanian Deadlift (Barbell)",,"",0,"normal",65,8,,,
"Glutes (1hr +)","25 Jan 2026, 22:00","25 Jan 2026, 23:00","","Romanian Deadlift (Barbell)",,"",1,"normal",95,6,,,
"Glutes (1hr +)","25 Jan 2026, 22:00","25 Jan 2026, 23:00","","Romanian Deadlift (Barbell)",,"",2,"normal",95,8,,,
"Glutes (1hr +)","25 Jan 2026, 22:00","25 Jan 2026, 23:00","","Hip Thrust (Barbell)",,"",0,"normal",135,12,,,
"Glutes (1hr +)","25 Jan 2026, 22:00","25 Jan 2026, 23:00","","Hip Thrust (Barbell)",,"",1,"normal",185,12,,,
"Glutes (1hr +)","25 Jan 2026, 22:00","25 Jan 2026, 23:00","","Hip Thrust (Barbell)",,"",2,"normal",185,8,,,
"Glutes (1hr +)","25 Jan 2026, 22:00","25 Jan 2026, 23:00","","Bulgarian Split Squat",,"",0,"normal",25,10,,,
"Glutes (1hr +)","25 Jan 2026, 22:00","25 Jan 2026, 23:00","","Bulgarian Split Squat",,"",1,"normal",25,12,,,
"Glutes (1hr +)","25 Jan 2026, 22:00","25 Jan 2026, 23:00","","Bulgarian Split Squat",,"",2,"normal",25,12,,,
"Glutes (1hr +)","25 Jan 2026, 22:00","25 Jan 2026, 23:00","","Leg Press (Machine)",,"",0,"normal",90,10,,,
"Glutes (1hr +)","25 Jan 2026, 22:00","25 Jan 2026, 23:00","","Leg Press (Machine)",,"",1,"normal",140,9,,,
"Glutes (1hr +)","25 Jan 2026, 22:00","25 Jan 2026, 23:00","","Leg Press (Machine)",,"",2,"normal",140,10,,,
"Pull ( back & bi )","9 Jan 2026, 15:58","9 Jan 2026, 16:58","","Face Pull",,"",0,"normal",37.5,8,,,
"Pull ( back & bi )","9 Jan 2026, 15:58","9 Jan 2026, 16:58","","Face Pull",,"",1,"normal",42.5,8,,,
"Pull ( back & bi )","9 Jan 2026, 15:58","9 Jan 2026, 16:58","","Face Pull",,"",2,"normal",37.5,8,,,
"Pull ( back & bi )","9 Jan 2026, 15:58","9 Jan 2026, 16:58","","Lat Pulldown (Cable)",,"",0,"normal",70,4,,,
"Pull ( back & bi )","9 Jan 2026, 15:58","9 Jan 2026, 16:58","","Lat Pulldown (Cable)",,"",1,"normal",60,8,,,
"Pull ( back & bi )","9 Jan 2026, 15:58","9 Jan 2026, 16:58","","Lat Pulldown (Cable)",,"",2,"normal",68,8,,,
"Pull ( back & bi )","9 Jan 2026, 15:58","9 Jan 2026, 16:58","","Bent Over Row (Barbell)",,"",0,"normal",65,5,,,
"Pull ( back & bi )","9 Jan 2026, 15:58","9 Jan 2026, 16:58","","Bent Over Row (Barbell)",,"",1,"normal",45,8,,,
"Pull ( back & bi )","9 Jan 2026, 15:58","9 Jan 2026, 16:58","","Bent Over Row (Barbell)",,"",2,"normal",45,8,,,
"Pull ( back & bi )","9 Jan 2026, 15:58","9 Jan 2026, 16:58","","EZ Bar Biceps Curl",,"",0,"normal",30,6,,,
"Pull ( back & bi )","9 Jan 2026, 15:58","9 Jan 2026, 16:58","","EZ Bar Biceps Curl",,"",1,"normal",30,8,,,
"Pull ( back & bi )","9 Jan 2026, 15:58","9 Jan 2026, 16:58","","Deadlift (Barbell)",,"",0,"normal",155,8,,,
"Lower body","4 Jan 2026, 10:19","4 Jan 2026, 11:57","Legs are cooked gang","Romanian Deadlift (Barbell)",,"",0,"normal",75,8,,,
"Lower body","4 Jan 2026, 10:19","4 Jan 2026, 11:57","Legs are cooked gang","Romanian Deadlift (Barbell)",,"",1,"normal",95,5,,,
"Lower body","4 Jan 2026, 10:19","4 Jan 2026, 11:57","Legs are cooked gang","Squat (Smith Machine)",,"",0,"normal",115,6,,,
"Lower body","4 Jan 2026, 10:19","4 Jan 2026, 11:57","Legs are cooked gang","Squat (Smith Machine)",,"",1,"normal",115,4,,,
"Lower body","4 Jan 2026, 10:19","4 Jan 2026, 11:57","Legs are cooked gang","Squat (Smith Machine)",,"",2,"normal",115,3,,,
"Lower body","4 Jan 2026, 10:19","4 Jan 2026, 11:57","Legs are cooked gang","Squat (Smith Machine)",,"",3,"normal",95,6,,,
"Lower body","4 Jan 2026, 10:19","4 Jan 2026, 11:57","Legs are cooked gang","Leg Press (Machine)",,"",0,"normal",90,8,,,
"Lower body","4 Jan 2026, 10:19","4 Jan 2026, 11:57","Legs are cooked gang","Leg Press (Machine)",,"",1,"normal",140,9,,,
"Lower body","4 Jan 2026, 10:19","4 Jan 2026, 11:57","Legs are cooked gang","Leg Press (Machine)",,"",2,"normal",180,8,,,
"Lower body","4 Jan 2026, 10:19","4 Jan 2026, 11:57","Legs are cooked gang","Lying Leg Curl (Machine)",,"2",0,"normal",70,7,,,
